type,pr_number,version,file_path,title_readability_flesch_reading_ease,title_readability_flesch_kincaid_grade,title_sentiment_neg,title_sentiment_neu,title_sentiment_pos,title_sentiment_compound,title_word_count,title_sentence_count,title_unique_words,title_avg_word_length,title_stopword_ratio,body_readability_flesch_reading_ease,body_readability_flesch_kincaid_grade,body_sentiment_neg,body_sentiment_neu,body_sentiment_pos,body_sentiment_compound,body_word_count,body_sentence_count,body_unique_words,body_avg_word_length,body_stopword_ratio,comments_readability_flesch_reading_ease,comments_readability_flesch_kincaid_grade,comments_sentiment_neg,comments_sentiment_neu,comments_sentiment_pos,comments_sentiment_compound,comments_word_count,comments_sentence_count,comments_unique_words,comments_avg_word_length,comments_stopword_ratio,reviews_readability_flesch_reading_ease,reviews_readability_flesch_kincaid_grade,reviews_sentiment_neg,reviews_sentiment_neu,reviews_sentiment_pos,reviews_sentiment_compound,reviews_word_count,reviews_sentence_count,reviews_unique_words,reviews_avg_word_length,reviews_stopword_ratio,review_threads_readability_flesch_reading_ease,review_threads_readability_flesch_kincaid_grade,review_threads_sentiment_neg,review_threads_sentiment_neu,review_threads_sentiment_pos,review_threads_sentiment_compound,review_threads_word_count,review_threads_sentence_count,review_threads_unique_words,review_threads_avg_word_length,review_threads_stopword_ratio,overall_readability_flesch_reading_ease,overall_readability_flesch_kincaid_grade,overall_sentiment_neg,overall_sentiment_neu,overall_sentiment_pos,overall_sentiment_compound,overall_word_count,overall_sentence_count,overall_unique_words,overall_avg_word_length,overall_stopword_ratio
baseline,3,improved_degraded,experiment/prs\3\versions\improved_degraded\improved_degraded.json,10.56,14.3,0.0,1.0,0.0,0.0,11,1,10,6.363636363636363,0.18181818181818182,8.64,15.0,0.025,0.846,0.129,0.9552,245,11,113,5.183673469387755,0.22040816326530613,21.06,12.3,0.0,0.484,0.516,0.7506,9,1,8,6.333333333333333,0.2222222222222222,29.92,11.0,0.041,0.886,0.073,0.2668,69,8,47,5.6231884057971016,0.3333333333333333,11.38,14.0,0.0,0.866,0.134,0.6705,50,4,33,6.32,0.34,10.16,14.4,0.023,0.858,0.12,0.9804,405,24,166,5.254320987654321,0.2271604938271605
baseline,3,improved_original,experiment/prs\3\versions\improved_original\improved_original_pr.json,19.03,13.1,0.0,1.0,0.0,0.0,11,1,10,5.909090909090909,0.18181818181818182,5.08,16.4,0.018,0.881,0.102,0.9459,289,13,121,4.972318339100346,0.22837370242214533,-85.38,26.3,0.0,1.0,0.0,0.0,30,2,9,5.366666666666666,0.1,-4.13,15.8,0.066,0.866,0.069,0.0258,45,4,23,6.0,0.2222222222222222,34.83,11.2,0.053,0.804,0.143,0.7644,99,8,59,5.343434343434343,0.30303030303030304,7.93,15.3,0.029,0.873,0.097,0.9696,495,26,181,5.028282828282828,0.2202020202020202
baseline,3,original,experiment/prs\3\versions\original\original_pr.json,19.03,13.1,0.0,1.0,0.0,0.0,11,1,10,5.909090909090909,0.18181818181818182,57.87,8.5,0.01,0.939,0.051,0.9407,571,34,177,4.052539404553415,0.3222416812609457,-85.38,26.3,0.0,1.0,0.0,0.0,30,2,9,5.366666666666666,0.1,93.64,3.1,0.157,0.739,0.104,-0.3612,26,3,20,3.576923076923077,0.38461538461538464,69.99,5.9,0.0,0.836,0.164,0.8478,73,6,43,4.917808219178082,0.3835616438356164,59.09,8.0,0.014,0.925,0.06,0.9634,732,43,211,4.137978142076503,0.30601092896174864
claude 3.7 sonnet,3,degraded,experiment/prs\3\other_llms\claude 3.7 sonnet\versions\degraded\degraded_pr.json,37.98,10.0,0.0,1.0,0.0,0.0,8,1,8,5.625,0.25,61.83,7.0,0.0,0.94,0.06,0.7059,162,10,66,3.845679012345679,0.24691358024691357,120.21,-3.1,0.0,1.0,0.0,0.0,2,1,2,4.5,0.0,83.32,2.9,0.317,0.569,0.114,-0.5927,13,3,9,3.6923076923076925,0.23076923076923078,82.51,3.2,0.115,0.778,0.107,-0.0516,28,4,19,4.25,0.21428571428571427,62.75,6.6,0.064,0.902,0.034,-0.8181,233,15,85,3.7467811158798283,0.21888412017167383
claude 3.7 sonnet,3,improved_degraded,experiment/prs\3\other_llms\claude 3.7 sonnet\versions\improved_degraded\improved_degraded_pr.json,18.01,13.5,0.0,1.0,0.0,0.0,12,1,11,5.75,0.16666666666666666,16.22,16.2,0.011,0.86,0.129,0.9735,267,13,139,4.943820224719101,0.23595505617977527,92.8,1.3,0.0,0.612,0.388,0.2263,5,1,4,3.6,0.0,34.32,11.4,0.0,0.665,0.335,0.9973,197,15,107,5.065989847715736,0.34517766497461927,43.09,10.1,0.022,0.795,0.183,0.9743,164,10,92,4.841463414634147,0.35365853658536583,31.99,12.3,0.009,0.813,0.179,0.9983,665,38,248,4.899248120300752,0.2857142857142857
claude 3.7 sonnet,3,improved_original,experiment/prs\3\other_llms\claude 3.7 sonnet\versions\improved_original\improved_original_pr.json,1.09,15.8,0.0,1.0,0.0,0.0,12,1,11,6.25,0.16666666666666666,-24.36,27.7,0.009,0.897,0.094,0.9552,307,4,121,5.214983713355049,0.19218241042345277,-85.38,26.3,0.0,1.0,0.0,0.0,30,2,9,5.366666666666666,0.1,52.66,8.4,0.03,0.669,0.3,0.9915,131,12,74,4.900763358778626,0.33587786259541985,42.68,10.2,0.0,0.863,0.137,0.9551,134,9,76,4.917910447761194,0.40298507462686567,20.58,14.6,0.012,0.852,0.136,0.9962,638,25,203,4.9733542319749215,0.25235109717868337
deepseek deepthink r1,3,degraded,experiment/prs\3\other_llms\deepseek deepthink r1\versions\degraded\degraded_pr.json,37.98,10.0,0.0,1.0,0.0,0.0,9,1,8,5.333333333333333,0.2222222222222222,65.49,5.6,0.085,0.874,0.041,-0.4242,120,11,48,3.566666666666667,0.16666666666666666,-260.5,50.1,0.0,1.0,0.0,0.0,11,1,3,6.363636363636363,0.0,73.85,4.5,0.524,0.476,0.0,-0.5267,8,2,6,4.125,0.125,75.37,3.9,0.143,0.741,0.116,-0.128,21,4,17,4.238095238095238,0.3333333333333333,57.43,6.6,0.08,0.902,0.019,-0.7255,189,15,63,3.677248677248677,0.15343915343915343
deepseek deepthink r1,3,improved_degraded,experiment/prs\3\other_llms\deepseek deepthink r1\versions\improved_degraded\improved_degraded_pr.json,1.09,15.8,0.0,1.0,0.0,0.0,12,1,11,6.333333333333333,0.16666666666666666,-13.47,19.4,0.046,0.85,0.104,0.7964,203,3,97,5.463054187192118,0.09359605911330049,25.42,10.6,0.0,0.84,0.16,0.2263,14,2,8,5.571428571428571,0.07142857142857142,29.62,11.1,0.06,0.678,0.261,0.9432,79,7,47,5.2025316455696204,0.189873417721519,24.27,15.2,0.1,0.794,0.106,0.0772,56,1,36,4.875,0.16071428571428573,6.61,15.8,0.055,0.819,0.126,0.9601,383,11,147,5.177545691906006,0.12010443864229765
deepseek deepthink r1,3,improved_original,experiment/prs\3\other_llms\deepseek deepthink r1\versions\improved_original\improved_original_pr.json,21.06,12.3,0.0,1.0,0.0,0.0,9,1,8,6.0,0.1111111111111111,-22.34,20.7,0.032,0.849,0.119,0.8935,179,4,88,5.843575418994414,0.1340782122905028,-85.38,26.3,0.0,1.0,0.0,0.0,30,2,9,5.366666666666666,0.1,19.74,12.8,0.0,0.863,0.137,0.9186,115,8,65,5.373913043478261,0.2,3.12,15.1,0.0,0.896,0.104,0.7184,76,7,50,6.105263157894737,0.15789473684210525,-8.39,17.4,0.01,0.885,0.104,0.9777,422,19,154,5.725118483412322,0.14691943127962084
gemini 2.0 flash thinking,3,degraded,experiment/prs\3\other_llms\gemini 2.0 flash thinking\versions\degraded\degraded_pr.json,-35.13,19.4,0.0,1.0,0.0,0.0,6,1,5,6.833333333333333,0.16666666666666666,79.46,4.4,0.0,1.0,0.0,0.0,44,5,26,3.840909090909091,0.29545454545454547,36.62,8.4,0.0,0.0,1.0,0.296,1,1,1,2.0,0.0,88.74,2.9,0.0,0.761,0.239,0.296,10,2,7,3.4,0.2,91.27,1.9,0.0,0.621,0.379,0.6696,15,3,11,3.933333333333333,0.26666666666666666,71.21,5.5,0.0,0.959,0.041,0.3802,94,9,37,3.5319148936170213,0.20212765957446807
