repo,pr_count,Mean_score_architecture_impact,StdDev_score_architecture_impact,Mean_score_code_quality,StdDev_score_code_quality,Mean_score_collaboration,StdDev_score_collaboration,Mean_score_maintainability,StdDev_score_maintainability,Mean_score_technical_leadership,StdDev_score_technical_leadership,Mean_score_user_impact,StdDev_score_user_impact
docker_cli,327,0.4337158755595804,0.28593364659736736,0.5374164903530743,0.33654140446001213,0.576525798506055,0.3176455248702918,0.3310525020020543,0.24315013933997084,0.39399481390457636,0.2670738728833513,0.3737205206544711,0.2401123129978078
elastic_elasticsearch,7772,0.5070034794067716,0.28036017192838975,0.4129627444336792,0.31288951040608826,0.21538439962844988,0.21187595530156608,0.3479493273528412,0.24475743676537018,0.26366214611643285,0.1837755886187274,0.36168981946159273,0.2313955679932959
emberjs_ember.js,91,0.51374073288209,0.29664493588723706,0.5105277649178118,0.3377088056832839,0.4580067439352746,0.2860998836722646,0.2982505348275651,0.24324936942279576,0.3722303870267102,0.2526207693332076,0.4944395143026998,0.2890947925912976
eslint_eslint,580,0.1837310497777472,0.15272159120492676,0.3240259995908829,0.24832164064396994,0.57247837622939,0.32721688628506634,0.20841071582720452,0.21450742922942248,0.24008849876097815,0.19733142572725176,0.3351448333533159,0.24770663107963548
etcd-io_etcd,1314,0.32954310596448505,0.25504247886950204,0.3948238785139425,0.29014722361892603,0.47690130823576765,0.31875751797322405,0.24312756947951197,0.23383714096322478,0.33999037331032533,0.2663657953966836,0.47849413081989417,0.3418311505462243
expressjs_express,74,0.3422610896161279,0.2504788688472687,0.4027442156110664,0.29994370838450196,0.5861349611864047,0.374692101014791,0.3136157865850003,0.2969371623502932,0.42479568845718296,0.29696251112803307,0.3986683190875762,0.29825930650638527
facebook_react,1195,0.20708684014413645,0.2187713081963648,0.395045002755635,0.2936848409609752,0.24145792958182452,0.24665344056309216,0.5592979879901748,0.3482518421024382,0.32063541005318785,0.30334785709242473,0.1455853228344266,0.21021130597405321
facebook_rocksdb,1096,0.45279012376104355,0.3184464886831633,0.5298869740783005,0.29604043657311196,0.3049112580347819,0.2661351894801257,0.3476135918732909,0.2640922315681758,0.3985210582579955,0.27300011584497197,0.3243054070696489,0.24339752739573456
facebookresearch_detectron2,38,0.3326048366725445,0.22892935616397594,0.4530442245794754,0.2592674189841074,0.5984543610952402,0.35725438980801527,0.16565315454806148,0.21031047933567942,0.22667719404164108,0.16880816648949026,0.41259573811763206,0.21548698126854438
fastai_fastai,24,0.3275240094711383,0.25943122458183343,0.5714193694293499,0.27179757122033116,0.538709708993944,0.3557826935139501,0.285128035582602,0.28032433503804444,0.2249385621398687,0.18518670150690997,0.40883099598189193,0.25651818560123624
fastify_fastify,436,0.3434288715601924,0.2542646979153825,0.7360972996519178,0.2809554290115957,0.5439603869918597,0.3079132302548271,0.21156645902654647,0.20084791938228994,0.26504246168129075,0.20748076056504797,0.22304859622851558,0.22658771283018223
flutter_flutter,4377,0.310781777457853,0.23485136748284752,0.1902127930951305,0.2078507595198727,0.556573274799533,0.33431250224699566,0.5909209726416887,0.36078585586817413,0.2635697219903804,0.2174045621440669,0.29306770527366394,0.2219345448951525
freebsd_freebsd,307,0.43911493881620733,0.3107521892090063,0.4995807789445093,0.3333814301066323,0.3057780108818062,0.27864782926547194,0.3757204668041233,0.30048806202200457,0.365632599322823,0.2997586162223064,0.37234585214381977,0.26644272153234977
git_git,86,0.29231074036553845,0.281661626380517,0.4004787347864273,0.22374693363008663,0.729347912074868,0.32829389886800364,0.23861882023426678,0.16299068644363532,0.16164365339331152,0.14576051768518852,0.665252776318338,0.2837597401004126
godotengine_godot,6837,0.3616441453185361,0.30998590500948875,0.35760550274701236,0.2552927624976434,0.4837131365796959,0.28567567695057455,0.5619583530176139,0.297364626671697,0.24246775656534664,0.19620023207988568,0.211165228609856,0.2156178118883468
golang_go,868,0.2294827629103913,0.16528828494267042,0.3831143607943392,0.22041091703156393,0.8663576989335948,0.17751414246158514,0.2593771699378224,0.2080384843173478,0.2642163611017167,0.28784452615655937,0.305401114729761,0.18927476301815652
google_guava,29,0.2807847714886583,0.21169437214865014,0.5282504342753311,0.3147964488503179,0.49754110428279835,0.38876655273531274,0.1917110776592945,0.24055144552076843,0.20214438271419752,0.15648480468372916,0.33947669316468565,0.29304879340423706
grafana_grafana,8225,0.1673900511940675,0.19801985192099875,0.48083349835546546,0.29878785472695996,0.6031749428900406,0.34514349545875145,0.28077408442769114,0.24713089740177893,0.24197580980904126,0.20294358342160082,0.32664959517648684,0.32008781839522493
